sn_masked,batterysn,ctnumber,issue_x,designcapacity,fullchargecapacity,remainingcapacity,maxerrorpercentage,cyclecount,temperature,voltage,batterycurrent,designvoltage,cellvoltage1,cellvoltage2,cellvoltage3,cellvoltage4,chargerate,dischargerate,issue_y,max_maxcpu,max_avgcpu,avg_maxcpu,avg_avgcpu,max_maxram,max_avgram,avg_maxram,avg_avgram,avg_perctimewithinternet,median_perctimewithinternet,avg_perctimeonbatteries,median_perctimeonbatteries,ssmcount,issue,Battery_med_temp,CPU_med_temp,Fan_med_temp,GPU_med_temp,GPU_10DE_med_temp,GPU_1002_med_temp,Battery_max_temp,CPU_max_temp,Fan_max_temp,GPU_max_temp,GPU_10DE_max_temp,GPU_1002_max_temp,Battery_min_temp,CPU_min_temp,Fan_min_temp,GPU_min_temp,GPU_10DE_min_temp,GPU_1002_min_temp,batterycapacity__perc,designvoltage_volts_perc,Fan_max_rpm
SN_1,09413 09/27/2021,6JRKQ0IY3FPI9M,0,3620.0,3195.0,3181.0,1.0,316.0,37.0,12898.0,0.0,11340.0,4301.0,4299.0,4301.0,0.0,0.0,-2147483648.0,0,100.0,57.48620820045471,96.07452087402343,23.18337160624616,88.1139831542969,81.2772925428569,75.36749468351665,71.06167274566099,98.7552409393105,100.0,25.10966453539617,0.0,13.0,0,37.0,53.0,52.0,,,0.0,38.75,58.5,60.0,,,0.0,34.0,46.0,51.0,,,0.0,88.26,113.74,4096.0
SN_100,15054 12/26/2019,6HRVVN5GWD8PVY,0,3630.0,3232.0,3074.0,1.0,14.0,25.0,11596.0,0.0,11550.0,3867.0,3864.0,3864.0,0.0,0.0,-2147483648.0,0,,,,,,,,,,,,,,0,25.0,43.125,0.0,,38.0,,26.0,44.5,0.0,,39.0,,24.0,42.0,0.0,,38.0,,89.04,100.4,0.0
SN_1001,42567 01/14/2021,6JTZNN4GWEQHB4,1,3750.0,3136.0,2215.0,1.0,185.5,32.0,12117.0,64695.0,11550.0,4042.5,4037.0,4040.0,0.0,0.0,-2147483648.0,1,100.0,14.313863104430297,60.9087052345276,7.670298580450593,54.6299606375584,48.51359400969901,48.86565911973964,44.89761480679616,96.69461261019578,100.0,54.46557334105697,100.0,5.0,1,31.875,46.375,0.0,,44.0,,35.0,53.25,2.5,,48.0,,29.0,40.5,0.0,,39.0,,83.63,104.91,98304.0
SN_1002,00035 12/19/2020,6JTAK0F81EL80Y,0,4550.0,3336.5,1840.0,1.0,1869.0,30.0,11172.0,63977.5,11550.0,3708.5,3716.5,3730.5,0.0,0.0,-2147483648.0,0,100.0,24.82808118126609,54.39066219329834,11.859567995277445,75.2123184204102,71.82560553066972,71.30335807800293,69.17275694297346,99.76000585464838,100.0,64.30644652984218,74.36363636363636,15.0,0,30.625,45.5,0.0,,42.5,0.0,36.0,66.75,1.75,,46.0,0.0,25.75,38.0,0.0,,37.5,0.0,73.33,96.73,140434.29
SN_1003,00001 12/17/2020,6JTAK0F81EL2WL,1,4550.0,4016.5,4013.0,2.0,190.5,30.5,12670.5,0.0,11550.0,4223.5,4222.5,4223.5,0.0,0.0,-2147483648.0,1,63.9611723833303,32.0518209752865,37.05538998462286,19.28029367034132,96.31289523193846,89.18788337112855,91.08836189282658,83.21919912993286,98.8200324214256,100.0,4.793586790883961,0.0,9.0,1,30.0,59.75,3.0,,45.0,0.0,31.0,66.0,3.0,,47.0,0.0,29.0,52.0,2.0,,43.0,0.0,88.27,109.7,81920.0
SN_1005,00106 2021/01/13,6LGXT0A81EP8BG,0,3950.0,3103.0,2991.0,4.0,67.0,34.0,12378.5,0.0,11400.0,0.0,4126.5,4126.0,4126.0,0.0,0.0,0,100.0,40.627651205262936,61.03556408712516,14.490485778643931,97.4912156559504,93.87585520974788,94.12097651293212,91.27027324445382,99.38502445568584,100.0,0.8416473032282776,0.0,24.5,0,35.5,63.5,21.0,,54.25,,36.0,77.0,61.5,,57.0,,28.5,57.0,21.0,,51.0,,78.56,108.58,3996.1
SN_1007,13393 02/22/2021,6JRKK05XXEVAC1,0,3620.0,3367.5,3367.5,1.0,79.0,28.0,12793.5,0.0,11340.0,4264.5,4264.5,4265.0,0.0,0.0,-2147483648.0,0,100.0,44.55160151812117,70.34438454187833,30.9839240959627,64.2259407043457,61.909719806368685,56.87580829471737,52.18489039072388,99.56082083139624,100.0,0.0280237380356978,0.0,8.5,0,29.0,0.0,0.0,,,0.0,30.0,0.0,0.0,,,0.0,27.5,0.0,0.0,,,0.0,93.02,112.82,0.0
SN_1008,23876 02/25/2021,6JRKK05VTEVIF8,0,3620.0,2823.5,2208.5,1.0,721.5,22.0,11640.0,64970.0,11340.0,3871.5,3883.0,3882.0,0.0,0.0,-2147483648.0,0,100.0,25.09604566754061,67.86239191691081,16.223809852082617,86.69779586791995,71.26170782310972,74.81599292755128,66.23646195728541,99.65909832660644,100.0,84.53733912742142,100.0,8.0,0,23.5,45.25,0.0,,,0.0,26.5,49.0,0.0,,,0.0,19.0,39.5,0.0,,,0.0,78.0,102.65,0.0
SN_1009,00940 02/24/2021,6JRKK05VTEV0Q4,0,3620.0,2986.0,2455.0,1.0,676.0,22.0,11827.0,64731.0,11340.0,3956.0,3937.0,3935.0,0.0,0.0,-2147483648.0,0,100.0,26.023389826528728,68.83427365983907,14.991640223908387,89.4169540405273,79.37421735268738,81.97986221313478,73.35256427288162,96.1696278412586,99.6366241875224,73.96449256972461,100.0,10.0,0,25.375,51.375,0.0,,,0.0,29.0,55.25,0.0,,,0.0,22.0,45.25,0.0,,,0.0,82.49,104.29,0.0
SN_1010,00001 12/19/2020,6JTAK0F81EL6FE,0,4550.0,3487.0,2052.0,1.0,925.0,31.0,11428.0,64721.0,11550.0,3793.0,3804.0,3796.0,0.0,0.0,-2147483648.0,0,100.0,41.20520371798295,81.9842833518982,17.52564881310795,86.50177001953125,76.9603736077075,74.07298436939206,69.1284326172784,99.56128528777543,100.0,68.94122091276869,100.0,11.5,0,32.0,55.375,0.0,,41.75,0.0,36.25,71.5,2.5,,45.0,0.0,29.5,43.5,0.0,,38.0,0.0,76.64,98.94,98304.0
SN_1012,38139 01/19/2021,6JTZNN4GWEQQBW,0,3750.0,3008.0,3036.0,3.0,304.0,27.0,12749.0,0.0,11550.0,4250.0,4250.0,4249.0,0.0,0.0,-2147483648.0,0,100.0,17.714488236662383,82.42427537176344,16.485393865570927,83.39371109008785,77.14232101993284,79.26303901672364,75.35346405806258,99.98993558776168,100.0,8.198682600798644,0.0,11.0,0,28.0,49.125,0.0,,,,28.0,51.5,1.5,,,,25.75,46.0,0.0,,,,80.21,110.38,163840.0
SN_1014,45816 02/24/2021,6JRKK05XXEVZCO,0,3620.0,2505.0,2499.5,1.0,8.0,23.0,12011.5,0.0,11340.0,3977.0,3900.5,4135.0,0.0,0.0,-2147483648.0,0,85.5604782104492,6.956601795726928,39.69463908672333,3.8427404395486944,68.9323654174805,67.93445699314456,66.57011074490018,65.5168204446253,99.78725471765615,100.0,0.0020846962812846,0.0,24.0,0,22.5,45.875,0.0,,,0.0,23.0,51.5,0.0,,,0.0,22.0,40.5,0.0,,,0.0,69.2,105.92,0.0
SN_1015,05071 03/04/2021,6JRKK09XXEW3WV,0,3620.0,3440.0,3440.0,1.0,44.0,23.0,12788.0,0.0,11340.0,4263.0,4263.0,4262.0,0.0,0.0,-2147483648.0,0,100.0,33.834088549782486,72.31682315994712,24.91615122501793,88.2476272583008,82.33950628107245,79.40804672241211,75.78946106157656,99.56602251356472,100.0,0.2986200020718918,0.0,17.0,0,23.75,56.5,0.0,,,0.0,24.0,58.5,0.0,,,0.0,23.0,47.0,0.0,,,0.0,95.03,112.77,0.0
